nohup: 忽略输入
Time              -----------------------cpu---------------------- ----------------------------------------------------------------sfdv0n1-----------------------------------------------------------------  
Time                user     sys    wait    hirq    sirq    util    rrqms   wrqms   %rrqm   %wrqm      rs      ws   rsecs   wsecs  rqsize  rarqsz  warqsz  qusize   await  rawait  wawait   svctm    util    
23/11/25-18:47:52   0.00    0.00    0.00    0.00    0.00    0.00     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:47:53   0.00    0.00    0.00    0.00    0.00    0.00     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:47:54   0.00    0.00    0.00    0.00    0.00    0.00     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:47:55   0.06    0.08    0.00    0.00    0.00    0.15     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:47:56   0.10    0.02    0.00    0.00    0.00    0.13     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:47:57   0.02    0.00    0.00    0.00    0.00    0.02     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:47:58   0.00    0.02    0.00    0.00    0.00    0.02     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:47:59   0.86    1.34    0.00    0.00    0.00    2.19     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:48:00   0.15    0.17    0.00    0.00    0.00    0.31     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:48:01   0.06    0.02    0.00    0.00    0.00    0.08     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:48:02   0.00    0.00    0.00    0.00    0.00    0.00     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:48:03   0.00    0.02    0.00    0.00    0.00    0.02     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:48:04   0.00    0.00    0.00    0.00    0.00    0.00     0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    
23/11/25-18:48:05   1.29    0.88    0.02    0.00    0.00    2.17     0.00  125.00    0.00   39.31    0.00  193.00    0.00    2.8M    7.5K    0.00    7.5K    0.00    0.33    0.00    0.33    0.33    6.30    
23/11/25-18:48:06   2.27    1.19    0.08    0.00    0.00    3.46     0.00  437.00    0.00   43.88    0.00  559.00    0.00    4.7M    4.3K    0.00    4.3K    0.00    0.21    0.00    0.21    0.19   10.80    
23/11/25-18:48:07   1.69    0.19    0.04    0.00    0.00    1.88     0.00  180.00    0.00   23.47    0.00  587.00    0.00  156.1K  136.15    0.00  136.15    0.00    0.68    0.00    0.68    0.06    3.70    
23/11/25-18:48:08   1.63    0.17    0.06    0.00    0.00    1.79     0.00   83.00    0.00   12.81    0.00  565.00    0.00  167.7K  151.96    0.00  151.96    0.00    1.05    0.00    1.05    0.07    4.10    
23/11/25-18:48:09   1.65    0.17    0.06    0.00    0.00    1.81     0.00   93.00    0.00   13.48    0.00  597.00    0.00  185.7K  159.24    0.00  159.24    0.00    1.11    0.00    1.11    0.07    4.00    
23/11/25-18:48:10   2.55    1.52    0.06    0.00    0.02    4.09     0.00   81.00    0.00   13.43    0.00  522.00    0.00  164.9K  161.69    0.00  161.69    0.00    1.08    0.00    1.08    0.07    3.90    
Time              -----------------------cpu---------------------- ----------------------------------------------------------------sfdv0n1-----------------------------------------------------------------  
Time                user     sys    wait    hirq    sirq    util    rrqms   wrqms   %rrqm   %wrqm      rs      ws   rsecs   wsecs  rqsize  rarqsz  warqsz  qusize   await  rawait  wawait   svctm    util    
23/11/25-18:48:11   1.71    0.17    0.06    0.00    0.02    1.90     0.00   71.00    0.00   12.72    0.00  487.00    0.00  155.4K  163.38    0.00  163.38    0.00    1.14    0.00    1.14    0.08    3.70    
23/11/25-18:48:12   1.65    0.17    0.06    0.00    0.00    1.81     0.00   89.00    0.00   13.91    0.00  551.00    0.00  183.3K  170.32    0.00  170.32    0.00    1.07    0.00    1.07    0.08    4.50    
23/11/25-18:48:13   1.77    0.19    0.06    0.00    0.00    1.96     0.00  112.00    0.00   16.64    0.00  561.00    0.00  188.1K  171.66    0.00  171.66    0.00    1.18    0.00    1.18    0.07    4.20    
23/11/25-18:48:14   1.81    0.15    0.04    0.00    0.00    1.96     0.00   61.00    0.00   13.83    3.00  380.00  400.00  119.8K  160.63   66.67  161.37    0.00    0.66    0.33    0.66    0.07    2.60    
23/11/25-18:48:15   1.63    0.33    0.06    0.00    0.02    1.98     0.00  454.00    0.00   15.21    0.00    2.5K    0.00  306.3K   61.99    0.00   61.99    0.00    0.14    0.00    0.14    0.03    8.50    
23/11/25-18:48:16   1.69    0.15    0.06    0.00    0.00    1.83     0.00  110.00    0.00   18.61    0.00  481.00    0.00  162.4K  172.85    0.00  172.85    0.00    1.13    0.00    1.13    0.09    4.10    
23/11/25-18:48:17   1.67    0.15    0.06    0.00    0.00    1.81     0.00   86.00    0.00   14.19    0.00  520.00    0.00  182.7K  179.85    0.00  179.85    0.00    1.22    0.00    1.22    0.08    4.30    
